Area code,Area name,"Owned or shared ownership
(number)","Social rented
(number)","Private rented or lives rent free
(number)","Owned or shared ownership
(percent)","Social rented
(percent)","Private rented or lives rent free
(percent)"
E92000001,England," 14,605,016 "," 4,005,663 "," 4,825,406 ",62.3,17.1,20.6
W92000004,Wales," 894,199 "," 222,093 "," 230,825 ",66.4,16.5,17.1
E12000001,North East," 713,780 "," 258,134 "," 203,765 ",60.7,22.0,17.3
E12000002,North West," 1,987,096 "," 555,764 "," 610,543 ",63.0,17.6,19.4
E12000003,Yorkshire and The Humber," 1,471,075 "," 403,013 "," 456,570 ",63.1,17.3,19.6
E12000004,East Midlands," 1,351,392 "," 303,029 "," 382,911 ",66.3,14.9,18.8
E12000005,West Midlands," 1,545,293 "," 443,332 "," 440,869 ",63.6,18.2,18.1
E12000006,East of England," 1,740,802 "," 407,152 "," 480,828 ",66.2,15.5,18.3
E12000007,London," 1,601,042 "," 790,958 "," 1,031,889 ",46.8,23.1,30.1
E12000008,South East," 2,554,864 "," 519,352 "," 733,750 ",67.1,13.6,19.3
E12000009,South West," 1,639,672 "," 324,928 "," 484,279 ",67.0,13.3,19.8
