GEO_CODE,GEO_LABEL,GEO_TYPE,GEO_TYP2,Tenure : Total\ Tenure - Unit : Persons,Tenure : Total\ Tenure - Unit : Households,Tenure : Owned - Unit : Persons,Tenure : Owned - Unit : Households,Total Owned outright per Person,Total Owned outright per Households,Tenure : Owned\ Owned with a mortgage or loan - Unit : Persons,Tenure : Owned\ Owned with a mortgage or loan - Unit : Households,Tenure : Owner occupied - Unit : Households,Tenure : Owner occupied\ Owned outright - Unit : Households,Tenure : Owner occupied\ Owned with a mortgage or loan - Unit : Households,Shared ownership (part owned and part rented) per Person,Shared ownership (part owned and part rented) per Households,Tenure : Social rented - Unit : Persons,Total Social rented per Households,Tenure : Social rented\ Rented from council (Local Authority) - Unit : Persons,Tenure : Social rented\ Rented from council (Local Authority) - Unit : Households,Tenure : Social rented\ Rented from Northern Ireland Housing Executive (NIHE) - Unit : Households,Tenure : Social rented\ Housing association or charitable trust - Unit : Households,Tenure : Social rented\ Other social rented - Unit : Persons,Tenure : Social rented\ Other social rented - Unit : Households,Tenure : Social rented\ Other social rented (including accommodation that is rented from a registered social landlord; housing association; housing co-operative or charitable trust) - Unit : Households,Tenure : Social rented\ Other - Unit : Households,Tenure : Rented\ Rented from council (Local Authority) - Unit : Households,Tenure : Rented\ Other social rented - Unit : Households,Tenure : Rented\ Private landlord or letting agency - Unit : Households,Tenure : Rented from Northern Ireland Housing Executive (NIHE) - Unit : Households,Tenure : Rented from housing association or charitable trust - Unit : Households,Tenure : Rented from other (including rented from an employer of a household member or relative or friend of a household member) - Unit : Households,Tenure : Rented from private landlord or letting agency - Unit : Households,Total Private rented per Persons,Total Private rented per Households,Tenure : Private rented\ Private landlord or letting agency - Unit : Persons,Tenure : Private rented\ Private landlord or letting agency - Unit : Households,Tenure : Private rented\ Employer of a household member - Unit : Persons,Tenure : Private rented\ Employer of a household member - Unit : Households,Tenure : Private rented\ Relative or friend of household member - Unit : Persons,Tenure : Private rented\ Relative or friend of household member - Unit : Households,Tenure : Private rented\ Other - Unit : Persons,Tenure : Private rented\ Other - Unit : Households,Tenure : Private rented\ Other than private landlord or letting agency - Unit : Households,Total Living rent-free per Persons,Living rent-free per Households
E07000188,Sedgemoor,Local Authorities,LA,113056,48801,81554,34802,34825,18320,46729,16482,,,,606,273,13600,5951,8073,3670,3670,,5527,2281,2281,2281,,,,,,,,16135,7113,14478,6380,231,93,1243,556,183,84,733,1161,662
E07000189,South Somerset,Local Authorities,LA,157903,69501,111387,48855,49985,26718,61402,22137,,,,1221,542,21981,9697,6888,2811,2811,,15093,6886,6886,6886,,,,,,,,21188,9272,17669,7881,1221,398,1597,721,701,272,1391,2126,1135
E07000190,Taunton Deane,Local Authorities,LA,106852,46907,72385,31393,30370,16329,42015,15064,,,,542,251,16089,7321,11783,5439,5439,,4306,1882,1882,1882,,,,,,,,16557,7227,14821,6506,377,126,1001,458,358,137,721,1279,715
E07000191,West Somerset,Local Authorities,LA,33282,15623,21892,10421,12727,7024,9165,3397,,,,146,72,5055,2288,382,181,181,,4673,2107,2107,2107,,,,,,,,5541,2510,4783,2189,192,69,423,183,143,69,321,648,332
E07000192,Cannock Chase,Local Authorities,LA,96791,40664,69507,28106,24487,12388,45020,15718,,,,463,248,14922,6880,11051,5291,5291,,3871,1589,1589,1589,,,,,,,,11103,4938,10181,4509,84,37,753,351,85,41,429,796,492
E07000193,East Staffordshire,Local Authorities,LA,111488,47251,79981,32879,32962,16574,47019,16305,,,,534,260,13429,6367,4483,1984,1984,,8946,4383,4383,4383,,,,,,,,16423,7152,14962,6519,234,94,1027,452,200,87,633,1121,593
E07000194,Lichfield,Local Authorities,LA,98893,41224,75916,31155,31795,15948,44121,15207,,,,440,242,12953,5446,1505,648,648,,11448,4798,4798,4798,,,,,,,,8744,3932,7677,3475,273,101,599,275,195,81,457,840,449
E07000195,Newcastle-under-Lyme,Local Authorities,LA,119708,52574,85287,36332,35569,18495,49718,17837,,,,405,226,20030,9840,7139,3399,3399,,12891,6441,6441,6441,,,,,,,,12871,5511,11574,4932,139,49,908,410,250,120,579,1115,665
E07000196,South Staffordshire,Local Authorities,LA,106157,44458,83079,33669,36049,17809,47030,15860,,,,436,249,12930,6193,1191,646,646,,11739,5547,5547,5547,,,,,,,,8701,3772,7781,3371,181,76,605,265,134,60,401,1011,575
E07000197,Stafford,Local Authorities,LA,127609,55703,94142,39880,39246,20259,54896,19621,,,,529,279,15701,7618,5271,2420,2420,,10430,5198,5198,5198,,,,,,,,15974,7206,13855,6239,550,193,1011,466,558,308,967,1263,720
E07000198,Staffordshire Moorlands,Local Authorities,LA,95860,41772,78232,33288,36222,18413,42010,14875,,,,242,127,7803,3699,2929,1343,1343,,4874,2356,2356,2356,,,,,,,,8556,4103,7424,3595,131,46,893,399,108,63,508,1027,555
E07000199,Tamworth,Local Authorities,LA,76446,31617,53695,21575,17197,8790,36498,12785,,,,332,158,13873,6108,10234,4482,4482,,3639,1626,1626,1626,,,,,,,,8059,3476,7336,3157,37,14,617,272,69,33,319,487,300
E07000200,Babergh,Local Authorities,LA,86170,37522,62584,26981,28396,14861,34188,12120,,,,369,178,11064,4912,7308,3343,3343,,3756,1569,1569,1569,,,,,,,,10743,4714,8902,4022,808,249,708,320,325,123,692,1410,737
E07000201,Forest Heath,Local Authorities,LA,58175,25376,31995,14174,13028,6907,18967,7267,,,,793,354,8483,3739,3209,1357,1357,,5274,2382,2382,2382,,,,,,,,14585,6195,12809,5532,832,268,511,246,433,149,663,2319,914
E07000202,Ipswich,Local Authorities,LA,131262,57298,76763,32467,28022,14723,48741,17744,,,,747,368,27270,12371,18942,8138,8138,,8328,4233,4233,4233,,,,,,,,25275,11421,23831,10742,186,78,1041,493,217,108,679,1207,671
E07000203,Mid Suffolk,Local Authorities,LA,95254,40306,72761,30262,31431,15876,41330,14386,,,,726,343,10244,4544,7426,3280,3280,,2818,1264,1264,1264,,,,,,,,10327,4515,8495,3804,771,274,718,304,343,133,711,1196,642
E07000204,St Edmundsbury,Local Authorities,LA,107942,45802,73109,30626,29495,15437,43614,15189,,,,824,376,16836,7321,7082,2808,2808,,9754,4513,4513,4513,,,,,,,,15830,6798,13374,5892,951,315,884,375,621,216,906,1343,681
E07000205,Suffolk Coastal,Local Authorities,LA,121791,53558,90291,39193,43101,22774,47190,16419,,,,518,234,13045,6066,1132,521,521,,11913,5545,5545,5545,,,,,,,,16490,7267,14596,6487,774,261,774,384,346,135,780,1447,798
E07000206,Waveney,Local Authorities,LA,113519,50883,79710,35290,37967,20503,41743,14787,,,,442,215,15403,7148,9105,4234,4234,,6298,2914,2914,2914,,,,,,,,16814,7578,15352,6920,209,89,1133,511,120,58,658,1150,652
E07000207,Elmbridge,Local Authorities,LA,129483,52922,96485,38660,36248,18119,60237,20541,,,,783,393,11005,5218,2486,1124,1124,,8519,4094,4094,4094,,,,,,,,19990,8006,18785,7478,362,129,690,328,153,71,528,1220,645
E07000208,Epsom and Ewell,Local Authorities,LA,74026,29784,57450,22931,21497,10969,35953,11962,,,,589,257,5388,2390,374,166,166,,5014,2224,2224,2224,,,,,,,,10101,3962,9315,3628,234,91,480,209,72,34,334,498,244
E07000209,Guildford,Local Authorities,LA,130920,53973,90258,37148,36291,18204,53967,18944,,,,1635,702,15903,6908,11134,4928,4928,,4769,1980,1980,1980,,,,,,,,21766,8522,18796,7426,1129,399,774,351,1067,346,1096,1358,693
E07000210,Mole Valley,Local Authorities,LA,83985,35828,63515,26362,27130,14011,36385,12351,,,,676,331,9132,4373,1079,531,531,,8053,3842,3842,3842,,,,,,,,9636,4270,8526,3795,366,143,496,244,248,88,475,1026,492
E07000211,Reigate and Banstead,Local Authorities,LA,134346,55423,100000,40486,35918,18393,64082,22093,,,,1442,673,15334,6605,3415,1345,1345,,11919,5260,5260,5260,,,,,,,,16637,7169,15441,6653,231,81,793,357,172,78,516,933,490
E07000212,Runnymede,Local Authorities,LA,77346,32714,53504,22731,20524,10827,32980,11904,,,,710,326,9506,4210,6641,2897,2897,,2865,1313,1313,1313,,,,,,,,12734,4974,11598,4492,464,173,400,195,272,114,482,892,473
E07000213,Spelthorne,Local Authorities,LA,94837,39512,69245,28671,25808,13403,43437,15268,,,,1303,540,11454,4911,1431,636,636,,10023,4275,4275,4275,,,,,,,,12132,5004,11244,4633,221,79,558,245,109,47,371,703,386
E07000214,Surrey Heath,Local Authorities,LA,84440,33546,65344,25769,23260,11668,42084,14101,,,,616,269,7467,3089,943,394,394,,6524,2695,2695,2695,,,,,,,,10302,4073,8462,3420,937,309,424,173,479,171,653,711,346
E07000215,Tandridge,Local Authorities,LA,80916,33342,62677,25302,23813,12074,38864,13228,,,,645,313,7992,3610,5563,2567,2567,,2429,1043,1043,1043,,,,,,,,8712,3666,7719,3236,413,158,445,211,135,61,430,890,451
E07000216,Waverley,Local Authorities,LA,117219,49280,88342,36295,36329,18572,52013,17723,,,,1034,491,13146,6068,9956,4662,4662,,3190,1406,1406,1406,,,,,,,,12857,5577,11467,4966,567,231,614,290,209,90,611,1840,849
E07000217,Woking,Local Authorities,LA,98282,39467,70017,27829,25050,12479,44967,15350,,,,919,368,11186,4704,7782,3308,3308,,3404,1396,1396,1396,,,,,,,,15379,6186,14208,5745,328,105,616,258,227,78,441,781,380
E07000218,North Warwickshire,Local Authorities,LA,61468,25812,45648,18686,18152,9007,27496,9679,,,,372,176,8342,3719,5725,2687,2687,,2617,1032,1032,1032,,,,,,,,6589,2913,5916,2635,103,34,476,198,94,46,278,517,318
E07000219,Nuneaton and Bedworth,Local Authorities,LA,124410,52711,91490,37617,34348,17545,57142,20072,,,,631,270,16139,7633,12092,5785,5785,,4047,1848,1848,1848,,,,,,,,15293,6683,13775,6041,151,52,1207,522,160,68,642,857,508
E07000220,Rugby,Local Authorities,LA,98180,41875,69788,29086,26851,13772,42937,15314,,,,859,403,13119,5993,7851,3860,3860,,5268,2133,2133,2133,,,,,,,,13560,5903,12042,5281,486,174,668,311,364,137,622,854,490
E07000221,Stratford-on-Avon,Local Authorities,LA,118853,51928,87435,37304,39346,20315,48089,16989,,,,1253,561,14498,6713,1226,594,594,,13272,6119,6119,6119,,,,,,,,14334,6596,12741,5885,460,191,818,375,315,145,711,1333,754
E07000222,Warwick,Local Authorities,LA,134590,58679,92502,39111,37290,19157,55212,19954,,,,1072,510,16339,7866,11478,5337,5337,,4861,2529,2529,2529,,,,,,,,23488,10513,21954,9786,301,134,976,475,257,118,727,1189,679
E07000223,Adur,Local Authorities,LA,60424,26957,44537,19883,18026,10191,26511,9692,,,,342,154,8091,3523,5789,2652,2652,,2302,871,871,871,,,,,,,,6915,3079,6235,2762,57,29,590,266,33,22,317,539,318
E07000224,Arun,Local Authorities,LA,145744,66706,106883,49254,50301,28581,56582,20673,,,,1226,566,13173,5886,6738,3225,3225,,6435,2661,2661,2661,,,,,,,,23078,10211,21289,9427,289,95,1275,579,225,110,784,1384,789
E07000225,Chichester,Local Authorities,LA,110837,49848,74369,33481,37241,20210,37128,13271,,,,939,455,16221,7407,2472,1084,1084,,13749,6323,6323,6323,,,,,,,,17235,7423,14580,6356,1058,403,923,397,674,267,1067,2073,1082
E07000226,Crawley,Local Authorities,LA,105859,42727,63006,25228,18584,9480,44422,15748,,,,1293,588,24265,10194,19339,7954,7954,,4926,2240,2240,2240,,,,,,,,16368,6214,15366,5789,109,43,747,319,146,63,425,927,503
E07000227,Horsham,Local Authorities,LA,128633,54923,97988,40926,39634,20486,58354,20440,,,,742,363,13907,6347,1505,672,672,,12402,5675,5675,5675,,,,,,,,14405,6480,12882,5772,497,222,823,387,203,99,708,1591,807
E07000228,Mid Sussex,Local Authorities,LA,137291,57409,104377,42658,40171,20408,64206,22250,,,,1331,561,13359,6092,626,295,295,,12733,5797,5797,5797,,,,,,,,16604,7322,15249,6719,352,149,835,375,168,79,603,1620,776
E07000229,Worthing,Local Authorities,LA,102752,47044,73352,32621,28658,16373,44694,16248,,,,440,217,9884,4695,2266,988,988,,7618,3707,3707,3707,,,,,,,,18412,9102,17004,8424,139,65,1087,514,182,99,678,664,409
E07000234,Bromsgrove,Local Authorities,LA,90833,38290,74554,30436,30713,15554,43841,14882,,,,502,248,7945,3819,2500,1139,1139,,5445,2680,2680,2680,,,,,,,,7093,3370,6382,3035,135,58,494,237,82,40,335,739,417
E07000235,Malvern Hills,Local Authorities,LA,72422,32212,52981,23146,26222,13680,26759,9466,,,,598,263,9837,4547,1239,558,558,,8598,3989,3989,3989,,,,,,,,7981,3720,7116,3339,159,67,597,263,109,51,381,1025,536
E07000236,Redditch,Local Authorities,LA,83745,34722,57126,22796,18339,9204,38787,13592,,,,287,134,16198,7351,12784,5703,5703,,3414,1648,1648,1648,,,,,,,,9506,4059,8716,3700,81,31,648,299,61,29,359,628,382
E07000237,Worcester,Local Authorities,LA,96854,42042,64140,27077,22977,12181,41163,14896,,,,926,436,14333,6438,5551,2356,2356,,8782,4082,4082,4082,,,,,,,,16697,7645,15471,7093,91,40,975,432,160,80,552,758,446
E07000238,Wychavon,Local Authorities,LA,115545,49466,85823,35973,37443,19158,48380,16815,,,,461,225,15910,7166,1788,771,771,,14122,6395,6395,6395,,,,,,,,12151,5419,10883,4843,315,138,757,352,196,86,576,1200,683
E07000239,Wyre Forest,Local Authorities,LA,96958,42985,70435,30360,30691,16196,39744,14164,,,,557,259,13252,6205,6431,2885,2885,,6821,3320,3320,3320,,,,,,,,11824,5660,10758,5155,98,46,867,409,101,50,505,890,501
E08000001,Bolton,Local Authorities,LA,274855,116371,184559,74170,73536,35378,111023,38792,,,,1204,605,50057,23825,35744,16575,16575,,14313,7250,7250,7250,,,,,,,,35468,15930,32381,14555,160,73,2462,1094,465,208,1375,3567,1841
E08000002,Bury,Local Authorities,LA,183025,78113,133146,54395,48570,24839,84576,29556,,,,499,247,22924,11703,14951,7314,7314,,7973,4389,4389,4389,,,,,,,,24631,10774,22490,9859,121,44,1834,780,186,91,915,1825,994
E08000003,Manchester,Local Authorities,LA,481030,204969,191339,77395,64418,31145,126921,46250,,,,3023,1481,140457,64682,62667,27585,27585,,77790,37097,37097,37097,,,,,,,,139431,58170,132170,55043,445,167,5037,2153,1779,807,3127,6780,3241
E08000004,Oldham,Local Authorities,LA,223170,89703,152287,58259,58286,27193,94001,31066,,,,762,352,40858,18918,18107,8708,8708,,22751,10210,10210,10210,,,,,,,,26555,10944,23523,9676,128,57,2471,1018,433,193,1268,2708,1230
E08000005,Rochdale,Local Authorities,LA,209552,87552,138389,54149,50479,24334,87910,29815,,,,691,340,41695,20247,27764,13671,13671,,13931,6576,6576,6576,,,,,,,,26215,11556,23845,10511,139,51,1944,864,287,130,1045,2562,1260
E08000006,Salford,Local Authorities,LA,228346,103556,123265,52126,43097,22603,80168,29523,,,,1058,508,59166,29819,37717,18461,18461,,21449,11358,11358,11358,,,,,,,,41772,19420,39082,18224,185,81,2018,872,487,243,1196,3085,1683
E08000007,Stockport,Local Authorities,LA,280915,121979,215105,89316,82237,42761,132868,46555,,,,1696,987,31598,16620,21171,10577,10577,,10427,6043,6043,6043,,,,,,,,30397,13852,27814,12631,180,80,2126,1001,277,140,1221,2119,1204
E08000008,Tameside,Local Authorities,LA,217736,94953,146223,60558,51745,26688,94478,33870,,,,558,309,41183,20438,10470,4953,4953,,30713,15485,15485,15485,,,,,,,,28023,12573,25384,11345,153,63,2105,960,381,205,1228,1749,1075
E08000009,Trafford,Local Authorities,LA,225277,94484,163364,65440,60645,30322,102719,35118,,,,1068,570,31394,15485,9658,4373,4373,,21736,11112,11112,11112,,,,,,,,27649,12001,25786,11173,125,52,1489,656,249,120,828,1802,988
E08000010,Wigan,Local Authorities,LA,315794,136386,223199,92559,82815,42446,140384,50113,,,,639,331,54096,25803,47584,22152,22152,,6512,3651,3651,3651,,,,,,,,34745,15875,31896,14550,135,61,2452,1139,262,125,1325,3115,1818
E08000011,Knowsley,Local Authorities,LA,144990,61323,94085,37896,30983,16032,63102,21864,,,,634,314,35058,16333,16516,7479,7479,,18542,8854,8854,8854,,,,,,,,13861,5980,12757,5488,45,17,921,405,138,70,492,1352,800
E08000012,Liverpool,Local Authorities,LA,450085,206515,230943,96947,85187,43803,145756,53144,,,,2153,1096,113496,57485,20592,9868,9868,,92904,47617,47617,47617,,,,,,,,98844,48290,92741,44912,416,194,3738,1879,1949,1305,3378,4649,2697
E08000013,St. Helens,Local Authorities,LA,173958,75736,120510,50952,48476,25215,72034,25737,,,,784,427,33816,15597,10606,4590,4590,,23210,11007,11007,11007,,,,,,,,17213,7736,15735,7056,89,35,1183,535,206,110,680,1635,1024
E08000014,Sefton,Local Authorities,LA,269697,117930,197896,83137,80291,42334,117605,40803,,,,1186,664,34368,17063,10731,4911,4911,,23637,12152,12152,12152,,,,,,,,34102,15804,31397,14552,194,86,2217,1019,294,147,1252,2145,1262
E08000015,Wirral,Local Authorities,LA,316384,140583,223487,94843,88242,46806,135245,48037,,,,1232,713,40957,21329,15478,7266,7266,,25479,14063,14063,14063,,,,,,,,48353,22275,44916,20636,196,82,2843,1351,398,206,1639,2355,1423
E08000016,Barnsley,Local Authorities,LA,229539,100734,153884,64807,60403,30778,93481,34029,,,,776,445,43821,21032,37252,17831,17831,,6569,3201,3201,3201,,,,,,,,28310,12856,26087,11812,169,76,1767,837,287,131,1044,2748,1594
E08000017,Doncaster,Local Authorities,LA,297200,126487,199827,82760,76836,39253,122991,43507,,,,830,418,48509,22403,42583,19173,19173,,5926,3230,3230,3230,,,,,,,,44407,18774,40459,17084,387,159,3207,1371,354,160,1690,3627,2132
E08000018,Rotherham,Local Authorities,LA,255334,108293,174577,70610,66541,33031,108036,37579,,,,611,309,48226,23289,40705,19436,19436,,7521,3853,3853,3853,,,,,,,,28757,12262,26269,11153,174,74,1980,880,334,155,1109,3163,1823
E08000019,Sheffield,Local Authorities,LA,539064,229928,323210,134127,123951,62329,199259,71798,,,,1818,881,117828,56917,81588,40725,40725,,36240,16192,16192,16192,,,,,,,,91394,35760,82947,32605,603,213,4849,2081,2995,861,3155,4814,2243
E08000020,Gateshead,Local Authorities,LA,197726,89154,121713,51915,44352,23081,77361,28834,,,,719,363,49888,24941,41118,19985,19985,,8770,4956,4956,4956,,,,,,,,23972,11125,21870,10130,110,47,1769,844,223,104,995,1434,810
E08000021,Newcastle upon Tyne,Local Authorities,LA,271212,117153,137403,57955,50641,26258,86762,31697,,,,1071,489,71181,34850,58265,27340,27340,,12916,7510,7510,7510,,,,,,,,58621,22318,54003,20462,328,113,2661,1236,1629,507,1856,2936,1541
E08000022,North Tyneside,Local Authorities,LA,199142,91295,136202,59136,47023,25611,89179,33525,,,,750,374,39029,19677,30378,14610,14610,,8651,5067,5067,5067,,,,,,,,21831,11300,19587,10146,184,77,1854,969,206,108,1154,1330,808
E08000023,South Tyneside,Local Authorities,LA,146729,67167,89556,38333,31884,17003,57672,21330,,,,548,297,42474,21204,34327,16967,16967,,8147,4237,4237,4237,,,,,,,,13199,6758,11842,6040,82,41,1115,597,160,80,718,952,575
E08000024,Sunderland,Local Authorities,LA,271884,119758,171589,71566,62419,32419,109170,39147,,,,699,352,65858,32399,35135,16725,16725,,30723,15674,15674,15674,,,,,,,,32235,14552,29096,13077,196,91,2237,1053,706,331,1475,1503,889
E08000025,Birmingham,Local Authorities,LA,1051366,410736,613454,226616,241995,106416,371459,120200,,,,8768,3940,226022,99592,145944,63458,63458,,80078,36134,36134,36134,,,,,,,,186896,73405,174929,68647,913,366,8544,3398,2510,994,4758,16226,7183
E08000026,Coventry,Local Authorities,LA,307730,128592,190294,77880,74930,37644,115364,40236,,,,1589,750,46689,21914,14867,6988,6988,,31822,14926,14926,14926,,,,,,,,66137,26503,61306,24461,333,118,3324,1371,1174,553,2042,3021,1545
E08000027,Dudley,Local Authorities,LA,310398,129867,220034,89304,91324,45383,128710,43921,,,,1467,707,57723,25719,49276,21874,21874,,8447,3845,3845,3845,,,,,,,,27479,12004,25162,10938,270,105,1749,818,298,143,1066,3695,2133
E08000028,Sandwell,Local Authorities,LA,305928,121498,183357,69135,70221,32253,113136,36882,,,,1596,701,75744,33439,63361,27587,27587,,12383,5852,5852,5852,,,,,,,,40569,15674,37911,14583,200,88,2021,822,437,181,1091,4662,2549
E08000029,Solihull,Local Authorities,LA,205087,86056,157358,63559,63339,32227,94019,31332,,,,1054,527,25946,12834,20406,10199,10199,,5540,2635,2635,2635,,,,,,,,19582,8502,18045,7795,139,63,1214,559,184,85,707,1147,634
E08000030,Walsall,Local Authorities,LA,267397,107822,174620,67265,70308,33516,104312,33749,,,,1260,601,57900,25967,25799,10774,10774,,32101,15193,15193,15193,,,,,,,,31021,12569,28538,11533,133,65,1882,770,468,201,1036,2596,1420
E08000031,Wolverhampton,Local Authorities,LA,245526,102177,146938,57812,61920,29416,85018,28396,,,,908,419,61857,28648,51189,22796,22796,,10668,5852,5852,5852,,,,,,,,32423,13455,30192,12517,177,79,1595,666,459,193,938,3400,1843
E08000032,Bradford,Local Authorities,LA,515315,199296,357607,129550,136775,58487,220832,71063,,,,2577,1165,63612,29513,26814,11729,11729,,36798,17784,17784,17784,,,,,,,,85008,36070,77827,33135,421,162,5498,2273,1262,500,2935,6511,2998
E08000033,Calderdale,Local Authorities,LA,202376,88621,143066,58981,55162,27671,87904,31310,,,,835,397,25607,13494,9588,4753,4753,,16019,8741,8741,8741,,,,,,,,30609,14545,27544,13114,242,98,2405,1141,418,192,1431,2259,1204
E08000034,Kirklees,Local Authorities,LA,416840,173525,296667,116361,118281,55569,178386,60792,,,,1383,612,54059,26525,42462,20886,20886,,11597,5639,5639,5639,,,,,,,,59169,26941,53818,24523,346,156,4351,1971,654,291,2418,5562,3086
E08000035,Leeds,Local Authorities,LA,731373,320596,445441,186467,161637,83385,283804,103082,,,,2888,1442,145895,70377,114249,54122,54122,,31646,16255,16255,16255,,,,,,,,128647,57456,120444,53599,589,265,6110,2901,1504,691,3857,8502,4854
E08000036,Wakefield,Local Authorities,LA,322264,140414,215503,89291,80291,40766,135212,48525,,,,1175,650,67667,33129,50023,24136,24136,,17644,8993,8993,8993,,,,,,,,35533,16017,32010,14383,273,122,2769,1281,481,231,1634,2386,1327
E09000002,Barking and Dagenham,Local Authorities,LA,184901,69681,88157,32324,23692,11908,64465,20416,,,,2300,906,56713,23459,47137,19782,19782,,9576,3677,3677,3677,,,,,,,,36283,12328,34202,11559,104,39,1535,555,442,175,769,1448,664
E09000003,Barnet,Local Authorities,LA,352597,135916,203416,78350,82008,38105,121408,40245,,,,2650,1191,47260,19334,28752,11664,11664,,18508,7670,7670,7670,,,,,,,,94026,34854,89869,33175,640,240,2517,1073,1000,366,1679,5245,2187
E09000004,Bexley,Local Authorities,LA,230902,92604,170041,67154,59028,30127,111013,37027,,,,1700,754,30697,13377,3975,1693,1693,,26722,11684,11684,11684,,,,,,,,26949,10556,24950,9721,99,42,1664,688,236,105,835,1515,763
E09000005,Brent,Local Authorities,LA,308895,110286,134116,47324,56377,22416,77739,24908,,,,3776,1636,66338,26591,25647,10686,10686,,40691,15905,15905,15905,,,,,,,,100696,33181,96606,31784,413,126,2502,855,1175,416,1397,3969,1554
E09000006,Bromley,Local Authorities,LA,307023,130862,223431,92785,83924,43649,139507,49136,,,,2169,1036,40788,18425,4366,1987,1987,,36422,16438,16438,16438,,,,,,,,38345,17393,35916,16229,427,163,1652,826,350,175,1164,2290,1223
E09000007,Camden,Local Authorities,LA,212443,97534,67967,31368,33901,16644,34066,14724,,,,1349,674,73612,32295,52959,22473,22473,,20653,9822,9822,9822,,,,,,,,66169,31434,62752,29706,567,282,2004,981,846,465,1728,3346,1763
E09000008,Croydon,Local Authorities,LA,360230,145010,212404,85230,70033,34882,142371,50348,,,,3953,1855,64704,25887,34789,14362,14362,,29915,11525,11525,11525,,,,,,,,75754,30472,71648,28762,451,181,2890,1212,765,317,1710,3415,1566
E09000009,Ealing,Local Authorities,LA,334725,124082,171016,63420,65080,28414,105936,35006,,,,4729,2174,55815,22472,32114,13007,13007,,23701,9465,9465,9465,,,,,,,,98822,34182,94503,32696,426,143,2733,989,1160,354,1486,4343,1834
E09000010,Enfield,Local Authorities,LA,310066,119916,177419,69462,65075,31452,112344,38010,,,,2521,1087,54014,21073,35055,13666,13666,,18959,7407,7407,7407,,,,,,,,72055,26591,69255,25395,323,128,1798,785,679,283,1196,4057,1703
E09000011,Greenwich,Local Authorities,LA,249991,101045,108983,43719,33957,16585,75026,27134,,,,3256,1580,82146,34662,52728,22878,22878,,29418,11784,11784,11784,,,,,,,,53325,20004,49606,18678,701,217,2043,772,975,337,1326,2281,1080
E09000012,Hackney,Local Authorities,LA,244433,101690,58693,24179,19879,8597,38814,15582,,,,4722,2374,105542,44430,56267,24163,24163,,49275,20267,20267,20267,,,,,,,,72480,29449,69102,28112,186,79,2507,947,685,311,1337,2996,1258
E09000013,Hammersmith and Fulham,Local Authorities,LA,180652,80590,60456,27397,25924,12777,34532,14620,,,,2394,1257,54456,25133,27606,12683,12683,,26850,12450,12450,12450,,,,,,,,60696,25555,57786,24215,327,132,2044,949,539,259,1340,2650,1248
E09000014,Haringey,Local Authorities,LA,253236,101955,95896,39603,35451,16326,60445,23277,,,,3236,1533,66921,27242,42828,17288,17288,,24093,9954,9954,9954,,,,,,,,83516,32095,80630,30924,280,109,1758,737,848,325,1171,3667,1482
E09000015,Harrow,Local Authorities,LA,236970,84268,152271,55001,58857,26246,93414,28755,,,,1905,821,23246,8923,12425,5157,5157,,10821,3766,3766,3766,,,,,,,,56931,18324,53828,17165,579,210,1788,681,736,268,1159,2617,1199
E09000016,Havering,Local Authorities,LA,235671,97199,178166,71698,67328,34625,110838,37073,,,,1212,586,30531,13799,23077,10464,10464,,7454,3335,3335,3335,,,,,,,,24380,10337,22826,9601,148,60,1236,586,170,90,736,1382,779
E09000017,Hillingdon,Local Authorities,LA,267227,100214,166228,63011,58083,27921,108145,35090,,,,3282,1280,42280,16752,25068,10481,10481,,17212,6271,6271,6271,,,,,,,,53054,18141,48918,16691,1274,433,1634,642,1228,375,1450,2383,1030
E09000018,Hounslow,Local Authorities,LA,251961,94902,127061,47562,44842,20048,82219,27514,,,,5070,2245,53435,21682,34593,14296,14296,,18842,7386,7386,7386,,,,,,,,63654,22206,60631,21099,399,127,1859,718,765,262,1107,2741,1207
E09000019,Islington,Local Authorities,LA,200134,93556,56585,26564,21143,10587,35442,15977,,,,2226,1207,84718,39342,54716,25014,25014,,30002,14328,14328,14328,,,,,,,,54041,25217,51470,23954,233,99,1750,852,588,312,1263,2564,1226
E09000020,Kensington and Chelsea,Local Authorities,LA,155939,78536,57374,28007,34881,17933,22493,10074,,,,1290,700,39634,19271,16076,7201,7201,,23558,12070,12070,12070,,,,,,,,52879,28108,50095,26676,702,318,1379,724,703,390,1432,4762,2450
E09000021,Kingston upon Thames,Local Authorities,LA,156358,63639,101192,40762,35329,17727,65863,23035,,,,966,434,16978,7502,11805,5252,5252,,5173,2250,2250,2250,,,,,,,,35944,14312,33687,13391,454,172,1261,525,542,224,921,1278,629
E09000022,Lambeth,Local Authorities,LA,300101,130017,96633,42885,30436,14778,66197,28107,,,,3701,1987,104113,45619,59910,25496,25496,,44203,20123,20123,20123,,,,,,,,92754,38133,87969,36023,588,248,3167,1389,1030,473,2110,2900,1393
E09000023,Lewisham,Local Authorities,LA,273342,116091,117320,49228,34705,17273,82615,31955,,,,2816,1436,82211,36052,41540,18084,18084,,40671,17968,17968,17968,,,,,,,,68445,28216,64704,26665,234,89,2752,1139,755,323,1551,2550,1159
E09000024,Merton,Local Authorities,LA,198217,78757,116281,46689,41312,20160,74969,26529,,,,1456,671,27085,11102,7466,2887,2887,,19619,8215,8215,8215,,,,,,,,51642,19503,49081,18478,285,97,1833,749,443,179,1025,1753,792
